KLVR Charger Detection Monitor - Started 2025-08-26 15:01:19
Monitoring: http://10.110.73.155:8000
============================================================

#  1 15:01:19 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
    ✅ SLOT 24: KLVR-AAA | AAA_ON=1554mV | AAA_OFF=1558mV | Δ=1558mV | Cycle=2
    ✅ SLOT 35: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=1554mV | Δ=1560mV | Cycle=3
    ✅ SLOT 36: KLVR-AAA | AAA_ON=1552mV | AAA_OFF=1552mV | Δ=1554mV | Cycle=2
    ✅ SLOT 37: KLVR-AAA | AAA_ON=1580mV | AAA_OFF=1592mV | Δ=   0mV | Cycle=2
    ✅ SLOT 38: KLVR-AAA | AAA_ON=1572mV | AAA_OFF=1568mV | Δ=1572mV | Cycle=3
    ✅ SLOT 39: KLVR-AAA | AAA_ON=1568mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 40: KLVR-AAA | AAA_ON=1590mV | AAA_OFF=1588mV | Δ=   0mV | Cycle=1
    ✅ SLOT 41: KLVR-AAA | AAA_ON=1552mV | AAA_OFF=1546mV | Δ=1554mV | Cycle=3
    ✅ SLOT 42: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1548mV | Δ=1548mV | Cycle=1
    ✅ SLOT 43: KLVR-AAA | AAA_ON=1586mV | AAA_OFF=1594mV | Δ=1588mV | Cycle=3
    ✅ SLOT 44: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1546mV | Δ=   0mV | Cycle=2
    ✅ SLOT 45: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=1552mV | Δ=1552mV | Cycle=1
    ✅ SLOT 46: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1564mV | Δ=1562mV | Cycle=1
    ✅ SLOT 47: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    🚨🚨 AAA DETECTION FAILURE! 2 AAA batteries not detected!
    🔬 SLOT 26 DETAILS: Detected=KLVR-AA | AAA_ON=1060mV | AAA_OFF=1106mV | Δ=-46mV | Cycle=3
    🔬 SLOT 29 DETAILS: Detected=KLVR-AA | AAA_ON=1090mV | AAA_OFF=1132mV | Δ=-42mV | Cycle=2
#408 15:06:35 | [AAA TEST] Total: 24 | Detected AAA: 22 | Failed to detect:  2 | Retries: 0 | 🚨 DETECTION FAILED!
    ✅ SLOT 24: KLVR-AAA | AAA_ON=1558mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 25: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1554mV | Δ=1552mV | Cycle=3
    🚨 SLOT 26: KLVR-AA  | AAA_ON=1060mV | AAA_OFF=1106mV | Δ= -46mV | Cycle=3
    ✅ SLOT 27: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1562mV | Δ=1560mV | Cycle=3
    ✅ SLOT 28: KLVR-AAA | AAA_ON=1542mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    🚨 SLOT 29: KLVR-AA  | AAA_ON=1090mV | AAA_OFF=1132mV | Δ= -42mV | Cycle=2
    ✅ SLOT 30: KLVR-AAA | AAA_ON=1550mV | AAA_OFF=1546mV | Δ=   0mV | Cycle=2
    ✅ SLOT 31: KLVR-AAA | AAA_ON=1550mV | AAA_OFF=1550mV | Δ=   0mV | Cycle=3
    ✅ SLOT 32: KLVR-AAA | AAA_ON=1550mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 33: KLVR-AAA | AAA_ON=1542mV | AAA_OFF=1542mV | Δ=   0mV | Cycle=1
    ✅ SLOT 34: KLVR-AAA | AAA_ON=1568mV | AAA_OFF=1568mV | Δ=   0mV | Cycle=2
    ✅ SLOT 35: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=1554mV | Δ=1560mV | Cycle=3
    ✅ SLOT 36: KLVR-AAA | AAA_ON=1552mV | AAA_OFF=1552mV | Δ=1554mV | Cycle=2
    ✅ SLOT 37: KLVR-AAA | AAA_ON=1580mV | AAA_OFF=1592mV | Δ=   0mV | Cycle=2
    ✅ SLOT 38: KLVR-AAA | AAA_ON=1572mV | AAA_OFF=1568mV | Δ=1572mV | Cycle=3
    ✅ SLOT 39: KLVR-AAA | AAA_ON=1568mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 40: KLVR-AAA | AAA_ON=1590mV | AAA_OFF=1588mV | Δ=   0mV | Cycle=1
    ✅ SLOT 41: KLVR-AAA | AAA_ON=1552mV | AAA_OFF=1546mV | Δ=1554mV | Cycle=3
    ✅ SLOT 42: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1548mV | Δ=1548mV | Cycle=1
    ✅ SLOT 43: KLVR-AAA | AAA_ON=1586mV | AAA_OFF=1594mV | Δ=1588mV | Cycle=3
    ✅ SLOT 44: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1546mV | Δ=   0mV | Cycle=2
    ✅ SLOT 45: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=1552mV | Δ=1552mV | Cycle=1
    ✅ SLOT 46: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1564mV | Δ=1562mV | Cycle=1
    ✅ SLOT 47: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    🚨🚨 AAA DETECTION FAILURE! 2 AAA batteries not detected!
    🔬 SLOT 26 DETAILS: Detected=KLVR-AA | AAA_ON=1060mV | AAA_OFF=1106mV | Δ=-46mV | Cycle=3
    🔬 SLOT 29 DETAILS: Detected=KLVR-AA | AAA_ON=1090mV | AAA_OFF=1132mV | Δ=-42mV | Cycle=2
#409 15:06:36 | [AAA TEST] Total: 24 | Detected AAA: 22 | Failed to detect:  2 | Retries: 0 | 🚨 DETECTION FAILED!
    ✅ SLOT 24: KLVR-AAA | AAA_ON=1558mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 25: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1554mV | Δ=1552mV | Cycle=3
    🚨 SLOT 26: KLVR-AA  | AAA_ON=1060mV | AAA_OFF=1106mV | Δ= -46mV | Cycle=3
    ✅ SLOT 27: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1562mV | Δ=1560mV | Cycle=3
    ✅ SLOT 28: KLVR-AAA | AAA_ON=1542mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    🚨 SLOT 29: KLVR-AA  | AAA_ON=1090mV | AAA_OFF=1132mV | Δ= -42mV | Cycle=2
    ✅ SLOT 30: KLVR-AAA | AAA_ON=1550mV | AAA_OFF=1546mV | Δ=   0mV | Cycle=2
    ✅ SLOT 31: KLVR-AAA | AAA_ON=1550mV | AAA_OFF=1550mV | Δ=   0mV | Cycle=3
    ✅ SLOT 32: KLVR-AAA | AAA_ON=1550mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 33: KLVR-AAA | AAA_ON=1542mV | AAA_OFF=1542mV | Δ=   0mV | Cycle=1
    ✅ SLOT 34: KLVR-AAA | AAA_ON=1568mV | AAA_OFF=1568mV | Δ=   0mV | Cycle=2
    ✅ SLOT 35: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=1554mV | Δ=1560mV | Cycle=3
    ✅ SLOT 36: KLVR-AAA | AAA_ON=1552mV | AAA_OFF=1552mV | Δ=1554mV | Cycle=2
    ✅ SLOT 37: KLVR-AAA | AAA_ON=1580mV | AAA_OFF=1592mV | Δ=   0mV | Cycle=2
    ✅ SLOT 38: KLVR-AAA | AAA_ON=1572mV | AAA_OFF=1568mV | Δ=1572mV | Cycle=3
    ✅ SLOT 39: KLVR-AAA | AAA_ON=1568mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 40: KLVR-AAA | AAA_ON=1590mV | AAA_OFF=1588mV | Δ=   0mV | Cycle=1
    ✅ SLOT 41: KLVR-AAA | AAA_ON=1552mV | AAA_OFF=1546mV | Δ=1554mV | Cycle=3
    ✅ SLOT 42: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1548mV | Δ=1548mV | Cycle=1
    ✅ SLOT 43: KLVR-AAA | AAA_ON=1586mV | AAA_OFF=1594mV | Δ=1588mV | Cycle=3
    ✅ SLOT 44: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1546mV | Δ=   0mV | Cycle=2
    ✅ SLOT 45: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=1552mV | Δ=1552mV | Cycle=1
    ✅ SLOT 46: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1564mV | Δ=1562mV | Cycle=1
    ✅ SLOT 47: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    🚨🚨 AAA DETECTION FAILURE! 2 AAA batteries not detected!
    🔬 SLOT 26 DETAILS: Detected=KLVR-AA | AAA_ON=1060mV | AAA_OFF=1106mV | Δ=-46mV | Cycle=3
    🔬 SLOT 29 DETAILS: Detected=KLVR-AA | AAA_ON=1090mV | AAA_OFF=1132mV | Δ=-42mV | Cycle=2
#410 15:06:42 | [AAA TEST] Total: 24 | Detected AAA: 22 | Failed to detect:  2 | Retries: 0 | 🚨 DETECTION FAILED!
    ✅ SLOT 24: KLVR-AAA | AAA_ON=1554mV | AAA_OFF=1552mV | Δ=1558mV | Cycle=2
    ✅ SLOT 25: KLVR-AAA | AAA_ON=1566mV | AAA_OFF=1564mV | Δ=   0mV | Cycle=3
    🚨 SLOT 26: KLVR-AA  | AAA_ON=1060mV | AAA_OFF=1106mV | Δ= -46mV | Cycle=3
    ✅ SLOT 27: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1562mV | Δ=   0mV | Cycle=3
    ✅ SLOT 28: KLVR-AAA | AAA_ON=1542mV | AAA_OFF=1544mV | Δ=1540mV | Cycle=3
    🚨 SLOT 29: KLVR-AA  | AAA_ON=1090mV | AAA_OFF=1132mV | Δ= -42mV | Cycle=2
    ✅ SLOT 30: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 31: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 32: KLVR-AAA | AAA_ON=1554mV | AAA_OFF=1556mV | Δ=1556mV | Cycle=2
    ✅ SLOT 33: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 34: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 35: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=1558mV | Δ=   0mV | Cycle=3
    ✅ SLOT 36: KLVR-AAA | AAA_ON=1552mV | AAA_OFF=1552mV | Δ=   0mV | Cycle=2
    ✅ SLOT 37: KLVR-AAA | AAA_ON=1588mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 38: KLVR-AAA | AAA_ON=1570mV | AAA_OFF=1572mV | Δ=   0mV | Cycle=3
    ✅ SLOT 39: KLVR-AAA | AAA_ON=1568mV | AAA_OFF=1570mV | Δ=1574mV | Cycle=3
    ✅ SLOT 40: KLVR-AAA | AAA_ON=1592mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 41: KLVR-AAA | AAA_ON=1550mV | AAA_OFF=1552mV | Δ=   0mV | Cycle=3
    ✅ SLOT 42: KLVR-AAA | AAA_ON=1552mV | AAA_OFF=1550mV | Δ=   0mV | Cycle=1
    ✅ SLOT 43: KLVR-AAA | AAA_ON=1590mV | AAA_OFF=1590mV | Δ=   0mV | Cycle=3
    ✅ SLOT 44: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 45: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=1556mV | Δ=   0mV | Cycle=1
    ✅ SLOT 46: KLVR-AAA | AAA_ON=1562mV | AAA_OFF=1558mV | Δ=   0mV | Cycle=1
    ✅ SLOT 47: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1544mV | Δ=1548mV | Cycle=3
    🚨🚨 AAA DETECTION FAILURE! 2 AAA batteries not detected!
    🔬 SLOT 26 DETAILS: Detected=KLVR-AA | AAA_ON=1060mV | AAA_OFF=1106mV | Δ=-46mV | Cycle=3
    🔬 SLOT 29 DETAILS: Detected=KLVR-AA | AAA_ON=1090mV | AAA_OFF=1132mV | Δ=-42mV | Cycle=2
#411 15:06:42 | [AAA TEST] Total: 24 | Detected AAA: 22 | Failed to detect:  2 | Retries: 0 | 🚨 DETECTION FAILED!
    ✅ SLOT 24: KLVR-AAA | AAA_ON=1554mV | AAA_OFF=1552mV | Δ=1558mV | Cycle=2
    ✅ SLOT 25: KLVR-AAA | AAA_ON=1566mV | AAA_OFF=1564mV | Δ=   0mV | Cycle=3
    🚨 SLOT 26: KLVR-AA  | AAA_ON=1060mV | AAA_OFF=1106mV | Δ= -46mV | Cycle=3
    ✅ SLOT 27: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1562mV | Δ=   0mV | Cycle=3
    ✅ SLOT 28: KLVR-AAA | AAA_ON=1542mV | AAA_OFF=1544mV | Δ=1540mV | Cycle=3
    🚨 SLOT 29: KLVR-AA  | AAA_ON=1090mV | AAA_OFF=1132mV | Δ= -42mV | Cycle=2
    ✅ SLOT 30: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 31: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 32: KLVR-AAA | AAA_ON=1554mV | AAA_OFF=1556mV | Δ=1556mV | Cycle=2
    ✅ SLOT 33: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 34: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 35: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=1558mV | Δ=   0mV | Cycle=3
    ✅ SLOT 36: KLVR-AAA | AAA_ON=1552mV | AAA_OFF=1552mV | Δ=   0mV | Cycle=2
    ✅ SLOT 37: KLVR-AAA | AAA_ON=1588mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 38: KLVR-AAA | AAA_ON=1570mV | AAA_OFF=1572mV | Δ=   0mV | Cycle=3
    ✅ SLOT 39: KLVR-AAA | AAA_ON=1568mV | AAA_OFF=1570mV | Δ=1574mV | Cycle=3
    ✅ SLOT 40: KLVR-AAA | AAA_ON=1592mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 41: KLVR-AAA | AAA_ON=1550mV | AAA_OFF=1552mV | Δ=   0mV | Cycle=3
    ✅ SLOT 42: KLVR-AAA | AAA_ON=1552mV | AAA_OFF=1550mV | Δ=   0mV | Cycle=1
    ✅ SLOT 43: KLVR-AAA | AAA_ON=1590mV | AAA_OFF=1590mV | Δ=   0mV | Cycle=3
    ✅ SLOT 44: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 45: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=1556mV | Δ=   0mV | Cycle=1
    ✅ SLOT 46: KLVR-AAA | AAA_ON=1562mV | AAA_OFF=1558mV | Δ=   0mV | Cycle=1
    ✅ SLOT 47: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1544mV | Δ=1548mV | Cycle=3
    🚨🚨 AAA DETECTION FAILURE! 2 AAA batteries not detected!
    🔬 SLOT 26 DETAILS: Detected=KLVR-AA | AAA_ON=1060mV | AAA_OFF=1106mV | Δ=-46mV | Cycle=3
    🔬 SLOT 29 DETAILS: Detected=KLVR-AA | AAA_ON=1090mV | AAA_OFF=1132mV | Δ=-42mV | Cycle=2
#412 15:06:43 | [AAA TEST] Total: 24 | Detected AAA: 22 | Failed to detect:  2 | Retries: 0 | 🚨 DETECTION FAILED!
    ✅ SLOT 24: KLVR-AAA | AAA_ON=1554mV | AAA_OFF=1552mV | Δ=1558mV | Cycle=2
    ✅ SLOT 25: KLVR-AAA | AAA_ON=1566mV | AAA_OFF=1564mV | Δ=   0mV | Cycle=3
    🚨 SLOT 26: KLVR-AA  | AAA_ON=1060mV | AAA_OFF=1106mV | Δ= -46mV | Cycle=3
    ✅ SLOT 27: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1562mV | Δ=   0mV | Cycle=3
    ✅ SLOT 28: KLVR-AAA | AAA_ON=1542mV | AAA_OFF=1544mV | Δ=1540mV | Cycle=3
    🚨 SLOT 29: KLVR-AA  | AAA_ON=1090mV | AAA_OFF=1132mV | Δ= -42mV | Cycle=2
    ✅ SLOT 30: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 31: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 32: KLVR-AAA | AAA_ON=1554mV | AAA_OFF=1556mV | Δ=1556mV | Cycle=2
    ✅ SLOT 33: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 34: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 35: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=1558mV | Δ=   0mV | Cycle=3
    ✅ SLOT 36: KLVR-AAA | AAA_ON=1552mV | AAA_OFF=1552mV | Δ=   0mV | Cycle=2
    ✅ SLOT 37: KLVR-AAA | AAA_ON=1588mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 38: KLVR-AAA | AAA_ON=1570mV | AAA_OFF=1572mV | Δ=   0mV | Cycle=3
    ✅ SLOT 39: KLVR-AAA | AAA_ON=1568mV | AAA_OFF=1570mV | Δ=1574mV | Cycle=3
    ✅ SLOT 40: KLVR-AAA | AAA_ON=1592mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 41: KLVR-AAA | AAA_ON=1550mV | AAA_OFF=1552mV | Δ=   0mV | Cycle=3
    ✅ SLOT 42: KLVR-AAA | AAA_ON=1552mV | AAA_OFF=1550mV | Δ=   0mV | Cycle=1
    ✅ SLOT 43: KLVR-AAA | AAA_ON=1590mV | AAA_OFF=1590mV | Δ=   0mV | Cycle=3
    ✅ SLOT 44: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 45: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=1556mV | Δ=   0mV | Cycle=1
    ✅ SLOT 46: KLVR-AAA | AAA_ON=1562mV | AAA_OFF=1558mV | Δ=   0mV | Cycle=1
    ✅ SLOT 47: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1544mV | Δ=1548mV | Cycle=3
    🚨🚨 AAA DETECTION FAILURE! 2 AAA batteries not detected!
    🔬 SLOT 26 DETAILS: Detected=KLVR-AA | AAA_ON=1060mV | AAA_OFF=1106mV | Δ=-46mV | Cycle=3
    🔬 SLOT 29 DETAILS: Detected=KLVR-AA | AAA_ON=1090mV | AAA_OFF=1132mV | Δ=-42mV | Cycle=2
#413 15:06:44 | [AAA TEST] Total: 24 | Detected AAA: 22 | Failed to detect:  2 | Retries: 0 | 🚨 DETECTION FAILED!
    ✅ SLOT 24: KLVR-AAA | AAA_ON=1554mV | AAA_OFF=1552mV | Δ=1558mV | Cycle=2
    ✅ SLOT 25: KLVR-AAA | AAA_ON=1566mV | AAA_OFF=1564mV | Δ=   0mV | Cycle=3
    🚨 SLOT 26: KLVR-AA  | AAA_ON=1060mV | AAA_OFF=1106mV | Δ= -46mV | Cycle=3
    ✅ SLOT 27: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1562mV | Δ=   0mV | Cycle=3
    ✅ SLOT 28: KLVR-AAA | AAA_ON=1542mV | AAA_OFF=1544mV | Δ=1540mV | Cycle=3
    🚨 SLOT 29: KLVR-AA  | AAA_ON=1090mV | AAA_OFF=1132mV | Δ= -42mV | Cycle=2
    ✅ SLOT 30: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 31: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 32: KLVR-AAA | AAA_ON=1554mV | AAA_OFF=1556mV | Δ=1556mV | Cycle=2
    ✅ SLOT 33: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 34: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 35: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=1558mV | Δ=   0mV | Cycle=3
    ✅ SLOT 36: KLVR-AAA | AAA_ON=1552mV | AAA_OFF=1552mV | Δ=   0mV | Cycle=2
    ✅ SLOT 37: KLVR-AAA | AAA_ON=1588mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 38: KLVR-AAA | AAA_ON=1570mV | AAA_OFF=1572mV | Δ=   0mV | Cycle=3
    ✅ SLOT 39: KLVR-AAA | AAA_ON=1568mV | AAA_OFF=1570mV | Δ=1574mV | Cycle=3
    ✅ SLOT 40: KLVR-AAA | AAA_ON=1592mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 41: KLVR-AAA | AAA_ON=1550mV | AAA_OFF=1552mV | Δ=   0mV | Cycle=3
    ✅ SLOT 42: KLVR-AAA | AAA_ON=1552mV | AAA_OFF=1550mV | Δ=   0mV | Cycle=1
    ✅ SLOT 43: KLVR-AAA | AAA_ON=1590mV | AAA_OFF=1590mV | Δ=   0mV | Cycle=3
    ✅ SLOT 44: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 45: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=1556mV | Δ=   0mV | Cycle=1
    ✅ SLOT 46: KLVR-AAA | AAA_ON=1562mV | AAA_OFF=1558mV | Δ=   0mV | Cycle=1
    ✅ SLOT 47: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1544mV | Δ=1548mV | Cycle=3
    🚨🚨 AAA DETECTION FAILURE! 2 AAA batteries not detected!
    🔬 SLOT 26 DETAILS: Detected=KLVR-AA | AAA_ON=1060mV | AAA_OFF=1106mV | Δ=-46mV | Cycle=3
    🔬 SLOT 29 DETAILS: Detected=KLVR-AA | AAA_ON=1090mV | AAA_OFF=1132mV | Δ=-42mV | Cycle=2
#414 15:06:45 | [AAA TEST] Total: 24 | Detected AAA: 22 | Failed to detect:  2 | Retries: 0 | 🚨 DETECTION FAILED!
    ✅ SLOT 24: KLVR-AAA | AAA_ON=1554mV | AAA_OFF=1552mV | Δ=1558mV | Cycle=2
    ✅ SLOT 25: KLVR-AAA | AAA_ON=1566mV | AAA_OFF=1564mV | Δ=   0mV | Cycle=3
    🚨 SLOT 26: KLVR-AA  | AAA_ON=1060mV | AAA_OFF=1106mV | Δ= -46mV | Cycle=3
    ✅ SLOT 27: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1562mV | Δ=   0mV | Cycle=3
    ✅ SLOT 28: KLVR-AAA | AAA_ON=1542mV | AAA_OFF=1544mV | Δ=1540mV | Cycle=3
    🚨 SLOT 29: KLVR-AA  | AAA_ON=1090mV | AAA_OFF=1132mV | Δ= -42mV | Cycle=2
    ✅ SLOT 30: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 31: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 32: KLVR-AAA | AAA_ON=1554mV | AAA_OFF=1556mV | Δ=1556mV | Cycle=2
    ✅ SLOT 33: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 34: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 35: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=1558mV | Δ=   0mV | Cycle=3
    ✅ SLOT 36: KLVR-AAA | AAA_ON=1552mV | AAA_OFF=1552mV | Δ=   0mV | Cycle=2
    ✅ SLOT 37: KLVR-AAA | AAA_ON=1588mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 38: KLVR-AAA | AAA_ON=1570mV | AAA_OFF=1572mV | Δ=   0mV | Cycle=3
    ✅ SLOT 39: KLVR-AAA | AAA_ON=1568mV | AAA_OFF=1570mV | Δ=1574mV | Cycle=3
    ✅ SLOT 40: KLVR-AAA | AAA_ON=1592mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 41: KLVR-AAA | AAA_ON=1550mV | AAA_OFF=1552mV | Δ=   0mV | Cycle=3
    ✅ SLOT 42: KLVR-AAA | AAA_ON=1552mV | AAA_OFF=1550mV | Δ=   0mV | Cycle=1
    ✅ SLOT 43: KLVR-AAA | AAA_ON=1590mV | AAA_OFF=1590mV | Δ=   0mV | Cycle=3
    ✅ SLOT 44: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 45: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=1556mV | Δ=   0mV | Cycle=1
    ✅ SLOT 46: KLVR-AAA | AAA_ON=1562mV | AAA_OFF=1558mV | Δ=   0mV | Cycle=1
    ✅ SLOT 47: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1544mV | Δ=1548mV | Cycle=3
    🚨🚨 AAA DETECTION FAILURE! 2 AAA batteries not detected!
    🔬 SLOT 26 DETAILS: Detected=KLVR-AA | AAA_ON=1060mV | AAA_OFF=1106mV | Δ=-46mV | Cycle=3
    🔬 SLOT 29 DETAILS: Detected=KLVR-AA | AAA_ON=1090mV | AAA_OFF=1132mV | Δ=-42mV | Cycle=2
#415 15:06:45 | [AAA TEST] Total: 24 | Detected AAA: 22 | Failed to detect:  2 | Retries: 0 | 🚨 DETECTION FAILED!
    ✅ SLOT 24: KLVR-AAA | AAA_ON=1554mV | AAA_OFF=1552mV | Δ=1558mV | Cycle=2
    ✅ SLOT 25: KLVR-AAA | AAA_ON=1566mV | AAA_OFF=1564mV | Δ=   0mV | Cycle=3
    🚨 SLOT 26: KLVR-AA  | AAA_ON=1060mV | AAA_OFF=1106mV | Δ= -46mV | Cycle=3
    ✅ SLOT 27: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1562mV | Δ=   0mV | Cycle=3
    ✅ SLOT 28: KLVR-AAA | AAA_ON=1542mV | AAA_OFF=1544mV | Δ=1540mV | Cycle=3
    🚨 SLOT 29: KLVR-AA  | AAA_ON=1090mV | AAA_OFF=1132mV | Δ= -42mV | Cycle=2
    ✅ SLOT 30: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 31: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 32: KLVR-AAA | AAA_ON=1554mV | AAA_OFF=1556mV | Δ=1556mV | Cycle=2
